Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Chassis,-0.00223376867240215,-0.14850894281352,0.130161580125502,0,0,0,6.08553841689872,0.0327838097565098,-0.00464401350152716,2.55873833597028E-18,0.437822564603667,-3.31234935748399E-19,0.426925675082443,0,0,0,0,0,0,package://car_cad/meshes/Chassis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Chassis.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Body,0.000380655529674728,-0.12547593261315,-0.153096829161281,0,0,0,23.622200921662,1.22101379159695,-0.000411107595272404,-0.000784541661557035,1.49733873565078,-0.0980498403480555,0.609014431921698,0,0,0,0,0,0,package://car_cad/meshes/Body.STL,1,1,1,0.4,0,0,0,0,0,0,package://car_cad/meshes/Body.STL,,Car Body-3,Origin_Body1,Axis_Body1,Body1,fixed,0.0315164318914847,-0.129348476976945,-0.163009284986669,-1.5707963267949,0,-1.5707963267949,Chassis,0,0,0,,,,,,,,,,,,
Lidar,-0.000242779984222619,0.0143774916405448,-8.92760670667681E-08,0,0,0,0.00945296465238527,6.54654507345966E-07,-2.35260896866165E-08,1.80483782041912E-11,7.43556524129556E-07,-8.64998487802385E-12,6.97184585454423E-07,0,0,0,0,0,0,package://car_cad/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Lidar.STL,,lidar-1,Origin_Lidar1,,Lidar1,fixed,-0.09716,-0.12795,0.098771,1.5708,0.30543,0,Chassis,0,0,0,,,,,,,,,,,,
Axle1,-0.0558539329391641,-0.111957315497147,5.55111512312578E-17,0,0,0,0.165364325621772,0.000342944657043841,-0.000288302213845359,3.33730981218194E-19,0.000673625405085605,2.01593841446523E-19,0.00100328754597061,0,0,0,0,0,0,package://car_cad/meshes/Axle1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Axle1.STL,,hinge-7,Origin_AxleJoint1,Axis_AxleJoint1,AxleJoint1,revolute,-0.28116,-0.21906,-0.10094,1.5708,0,1.6084,Chassis,0,1,0,0,0,-0.52,-0.52,,,,,,,,
Wheel1,-0.000124289697016056,-0.000814880703857074,-0.0488440441093753,0,0,0,1.79219678370578,0.00510596345572759,0.00012023485267183,1.24846562510615E-05,0.00555368585791158,1.62933654548786E-05,0.00924845152548034,0,0,0,0,0,0,package://car_cad/meshes/Wheel1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Wheel1.STL,,Part1-7,Origin_WheelJoint1,Axis_WheelJoint1,WheelJoint1,continuous,-0.10632,-0.14317,0,1.5708,-1.3864,1.5708,Axle1,0,0,1,0,100,,,,,,,,,,
Axle2,-0.0558539329391641,-0.111957315497148,2.22044604925031E-16,0,0,0,0.165364325621772,0.000342944657043841,-0.000288302213845359,3.09421135631996E-18,0.000673625405085604,1.35694678150139E-18,0.00100328754597061,0,0,0,0,0,0,package://car_cad/meshes/Axle2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Axle2.STL,,hinge-8,Origin_AxleJoint2,Axis_AxleJoint2,AxleJoint2,revolute,-0.28116,-0.041262,-0.10094,1.5708,0,-1.5831,Chassis,0,1,0,0,0,-0.52,0.52,,,,,,,,
Wheel2,-0.000124289697016167,-0.000814880703856879,-0.0399247884726198,0,0,0,1.79219678370578,0.00510598221987398,0.000120237154656982,1.24846537357343E-05,0.00555366265587753,1.62939094646877E-05,0.00924844793072547,0,0,0,0,0,0,package://car_cad/meshes/Wheel2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Wheel2.STL,,Part1-8,Origin_WheelJoint2,Axis_WheelJoint2,WheelJoint2,continuous,-0.11524,-0.14317,0,0,1.5708,0,Axle2,0,0,1,0,100,,,,,,,,,,
Axle3,-0.0558539329391641,-0.111957315497147,1.66533453693773E-16,0,0,0,0.165364325621772,0.000342944657043841,-0.000288302213845359,2.23000893066292E-18,0.000673625405085605,9.47773249098738E-19,0.00100328754597061,0,0,0,0,0,0,package://car_cad/meshes/Axle3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Axle3.STL,,hinge-9,Origin_AxleJoint3,Axis_AxleJoint3,AxleJoint3,fixed,0.2525,-0.21906,-0.10094,1.5708,0,1.5708,Chassis,0,1,0,,,,,,,,,,,,
Wheel3,-0.00012428969701811,-0.00081488070385749,-0.0399363468416864,0,0,0,1.79219678370578,0.0051059634557276,0.000120234852671832,1.24846562510982E-05,0.00555368585791158,1.62933654548732E-05,0.00924845152548033,0,0,0,0,0,0,package://car_cad/meshes/Wheel3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Wheel3.STL,,Part1-9,Origin_WheelJoint3,Axis_WheelJoint3,WheelJoint3,continuous,-0.11523,-0.14317,0,0,1.5708,0,Axle3,0,0,1,0,100,,,,,,,,,,
Axle4,-0.0558539329391641,0.111957315497148,-5.55111512312578E-16,0,0,0,0.165364325621772,0.000342944657043841,0.000288302213845359,-6.8605262086319E-18,0.000673625405085604,2.97772235266786E-18,0.00100328754597061,0,0,0,0,0,0,package://car_cad/meshes/Axle4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_cad/meshes/Axle4.STL,,hinge-10,Origin_AxleJoint4,Axis_AxleJoint4,AxleJoint4,fixed,0.2525,-0.041262,-0.10094,-1.5708,0,-1.5708,Chassis,0,1,0,,,,,,,,,,,,
